partner_id,region,reporting_month,households_supported,amount_disbursed_usd,submission_timestamp,source_file,processed_at
B001,Northern,2024-01-01,120,6000,2024-01-10T08:00:00Z,partner_B_2024_01.csv,2026-01-26T21:39:26.720705
B001,Northern,2024-02-01,130,6500,2024-02-11T10:30:00Z,partner_B_2024_01.csv,2026-01-26T21:39:26.720705
B002,Central,2024-01-01,180,9000,2024-01-12T12:45:00Z,partner_B_2024_01.csv,2026-01-26T21:39:26.720705
B002,Central,2024-02-01,190,9500,2024-02-13T14:20:00Z,partner_B_2024_01.csv,2026-01-26T21:39:26.720705
B003,Southern,2024-01-01,85,4250,2024-01-08T09:15:00Z,partner_B_2024_01.csv,2026-01-26T21:39:26.720705
B003,Southern,2024-02-01,92,4600,2024-02-10T13:45:00Z,partner_B_2024_01.csv,2026-01-26T21:39:26.720705
B004,Eastern,2024-01-01,70,3500,2024-01-14T16:30:00Z,partner_B_2024_01.csv,2026-01-26T21:39:26.720705
B004,Eastern,2024-02-01,75,3750,2024-02-15T09:00:00Z,partner_B_2024_01.csv,2026-01-26T21:39:26.720705
B005,Western,2024-01-01,110,5500,2024-01-13T11:20:00Z,partner_B_2024_01.csv,2026-01-26T21:39:26.720705
B005,Western,2024-02-01,115,5750,2024-02-14T14:50:00Z,partner_B_2024_01.csv,2026-01-26T21:39:26.720705
